"","SRR3396381","SRR3396382","SRR3396384","SRR3396385","SRR3396386","SRR3396387"
"YDL243C",191.048648488751,213.919522953668,190.98567450579,167.548311834202,167.661407417357,153.857366613944
"YDR387C",644.074186222555,582.224362001258,556.804006270612,565.986370464318,532.142727889872,592.058727223279
"YDL094C",22.8800776633235,11.0995978891054,14.2526622765515,13.2812686210039,15.4904561200819,15.5804928216652
"YDR438W",263.12089312822,291.616708177406,242.295258701376,302.40427013978,260.604144137848,261.947035564247
"YDR523C",28.6000970791543,24.2173044853209,36.1067444339305,28.6058093375468,10.0232363129942,18.5018352257275
"YDR542W",6.86402329899704,4.03621741422016,8.55159736593091,2.04327209553905,1.82240660236258,4.86890400677039
"YDR492W",478.19362316346,486.364198413529,523.547794291992,449.519861018592,414.597502037486,399.250128555172
"YDR018C",91.5203106532939,77.697185223738,104.519523361378,81.7308838215622,66.517840986234,67.1908752934313
"YDL189W",886.603009453784,834.487950390018,818.102814674057,958.294612807817,945.829026626177,961.121650936474
"YDR508C",3640.22035623476,3462.06548704734,3940.38603072394,2661.36190443962,2729.05388703796,2722.691120586
"YDR462W",521.665770723775,589.287742476143,598.611815615163,549.640193700006,559.478826925311,502.470893498704
"YDR175C",608.610065844404,623.595590497014,688.87867669999,721.275049725286,654.243970248165,704.043519378998
"YDR186C",1690.8377393196,1526.69923692877,1521.2341536506,1215.74689684574,1325.80080321877,1300.97115060905
"YDR150W",941.515195845761,845.587548279123,721.184711193506,841.82810336209,865.643136122224,743.968532234515
"YDR243C",172.744586358092,172.548294457912,187.184964565377,224.759930509296,233.26804510241,184.044571455921
"YDL182W",6985.28771061265,7612.30604321922,8851.85345122359,2623.56137067215,2388.26385239616,2456.84896181634
"YDR362C",599.458034779075,549.934622687497,574.857378487578,529.207472744615,554.011607118223,556.028837573178
"YDR232W",841.986858010303,781.008069651601,805.750507367712,956.251340712278,1016.90288411832,854.005762787526
"YDR158W",12180.2093440702,11854.3705455646,11276.7063932076,4843.57650247533,4766.50446847932,5279.83950494181
"YDR439W",193.336656255083,194.747490236123,191.935851990894,228.846474700374,261.51534743903,248.31410434529
"YDL206W",546.833856153431,537.825970444836,473.18838758151,461.779493591826,422.798331748118,441.122703013397
"YDR125C",209.35271061941,191.720327175457,193.836206961101,155.288679260968,182.240660236258,182.097009853212
"YDR338C",292.86499409054,314.824958309172,247.996323611996,304.447542235319,320.743562015813,301.872048419764
"YDR526C",2.28800776633235,0,0,1.02163604776953,0,0.973780801354077
"YDR533C",618.9061007929,772.93563482316,724.98542113392,462.801129639596,387.261403002047,453.781853431
"YDR272W",1308.7404423421,1697.22942267958,1531.68610598674,1568.21133332622,1231.03565989592,1327.26323224561
"YDR197W",331.76112611819,316.843067016282,305.006972718202,301.382634092011,306.164309196913,331.085472460386
"YDR512C",602.890046428573,628.64086226479,537.800456568544,404.567874916733,434.643974663474,510.261139909536
"YDR489W",194.480660138249,169.521131397247,171.982124803722,229.868110748144,196.819913055158,194.756160270815
"YDR299W",382.097296977502,294.643871238072,457.035370334752,740.686134632907,835.573427183241,564.792864785365
"YDL015C",2611.76086526837,2885.89545116741,2704.20512260437,2638.88591138869,2475.73936930956,2571.75509637612
"YDR304C",2190.76743626322,2304.68014351971,2373.54335778838,2426.38561345263,2166.8414502091,2245.5385279225
"YDR271C",0,0,0,0,0,0
"YDL181W",473.617607630796,470.219328756648,432.330755722062,387.200062104651,327.121985124082,410.935498171421
"YDR367W",366.081242613175,401.603632714906,458.935725304959,375.962065579186,472.003310011907,530.710536737972
"YDR085C",374.089269795339,345.096588915824,335.412652241512,264.603736372308,268.80497384848,259.999473961539
"YDL097C",2464.18436433994,2586.20630816157,2401.09850485638,2527.52758218181,2433.82401745522,2625.31304045059
"YDL139C",162.448551409597,131.177065962155,146.327332705929,137.920866448886,125.746055563018,127.565284977384
"YDR200C",462.177568799134,529.753535616396,488.391227343165,326.923535286249,340.790034641802,445.017826218813
"YDR191W",249.392846530226,249.236425328095,275.551470679996,256.430647990151,225.978418692959,256.104350756122
"YDR451C",663.52225223638,708.356156195638,648.971222325645,587.440727467478,666.089613163521,691.384368961395
"YDR469W",286.000970791543,305.743469127177,301.206262777789,528.185836696846,403.663062423311,363.220238905071
"YDR470C",533.105809555437,511.590557252405,549.202586389785,521.034384362459,483.848952927264,482.995277471622
"YDR105C",957.531250210087,994.927592605269,999.586714328812,862.260824317481,796.391685232446,899.773460451167
"YDR483W",3637.93234846843,3783.9538258314,3704.74201441829,3773.92356046063,3549.13685810112,3347.85839505532
"YDL123W",398.113351341828,353.169023744264,398.124366258339,339.183167859483,330.766798328808,334.980595665803
"YDL199C",356.929211547846,345.096588915824,319.259634994754,233.954654939222,227.800825295322,267.789720372371
"YDR505C",721.866450277855,708.356156195638,698.380451551024,633.414349617107,628.730277815089,727.414258611496
"YDL045W-A",545.689852270265,563.052329283712,640.419624959714,646.695618238111,610.506211791463,589.137384819217
"YDL045C",399.257355224994,436.920535089332,428.530045781649,408.654419107811,430.999161458749,421.647086986315
"YDR361C",541.1138367376,461.137839574653,667.024594542611,744.772678823985,814.615751256071,682.620341749208
"YDR406W-A",18.3040621306588,28.2535218995411,17.1031947318618,12.2596325732343,16.4016594212632,4.86890400677039
"YDR199W",3.43201164949852,9.08148918199536,3.80070994041374,7.15145233438669,0.911203301181288,4.86890400677039
"YDR266C",779.066644436164,683.129797356762,698.380451551024,728.426502059673,755.387536679288,720.597793002017
"YDL242W",46.9041592098131,48.4346089706419,46.5586967700683,37.8005337674725,32.8033188425264,41.8725744582253
"YDR002W",3602.46822809028,3895.95885907601,3807.36118280946,4659.68201387681,4128.66215765242,3828.90611092423
"YDR214W",1364.79663261724,1609.44169392029,1421.46551771474,1783.77653940559,1867.05556412046,1882.31828901743
"YDR130C",298.585013506371,313.815903955617,298.355730322478,310.577358521936,328.033188425264,364.194019706425
"YDL176W",271.128920310383,296.661979945182,327.811232360685,275.841732897772,296.141072883919,309.662294830597
"YDR358W",1012.44343660206,1024.19016885837,872.262931324952,585.397455371939,542.165964202866,643.669109695045
"YDR544C",0,1.00905435355504,0.950177485103434,0,0,0
"YDR460W",450.737529967472,459.119730867543,475.088742551717,425.000595872123,438.2887878682,497.601989491933
"snR84",69.7842368731366,54.4889350919721,67.4626014423438,142.007410639964,142.147714984281,90.5616145259292
"YDR034W-B",250.536850413392,260.3360232172,250.846856067307,213.521933983831,173.128627224445,150.936024209882
"YDL028C",509.081728008947,515.626774666625,487.441049858062,421.935687728815,479.292936421357,444.044045417459
"YDR061W",499.929696943618,543.880296566166,530.199036687716,549.640193700006,562.212436828855,540.448344751513
"YDR060W",704.706392030363,559.016111869492,711.682936342472,1206.55217241581,1506.21905685267,1039.0241150448
"YDR169C-A",19.4480660138249,21.1901414246558,18.0533722169652,7.15145233438669,7.2896264094503,11.6853696162489
"YDR363W",251.680854296558,248.22737097454,284.103068045927,285.036457327698,303.430699293369,292.134240406223
"YDR422C",632.634147390894,576.170035879928,543.501521479164,524.099292505767,582.258909454843,583.294700011092
"YDR119W",1201.20407732448,1124.08654986031,1143.06351457943,1110.51838392548,1184.56429153567,1123.7430447626
"tR(ACG)D",2.28800776633235,11.0995978891054,5.7010649106206,7.15145233438669,4.55601650590644,3.89512320541631
"YDR097C",494.209677527787,466.183111342428,468.437500155993,634.435985664876,697.981728704867,577.452015202968
"YDR042C",67.4962291068042,50.452717677752,53.2099391657923,51.0818023884764,45.5601650590644,43.8201360609335
"YDL160C",708.138403679861,622.586536143459,592.910750704543,571.094550703166,708.916168319042,658.275821715356
"YDR425W",385.529308627,405.639850129126,324.960699905374,297.296089900932,275.183396956749,259.025693160185
"snR13",5.72001941583087,4.03621741422016,3.80070994041374,6.12981628661716,7.2896264094503,1.94756160270815
"YDR228C",661.234244470048,621.577481789904,603.362703040681,544.532013461158,613.239821695007,564.792864785365
"YDR319C",361.505227080511,396.558360947131,360.117266854201,385.156790009112,429.176754856387,371.984266117257
"YDR471W",5763.49156339118,4843.46089706419,5431.21450485123,6092.01575284969,5958.35838642444,5648.902428655
"YDR089W",835.122834711306,720.464808438298,709.782581372265,670.19324733681,806.41492154544,840.372831568569
"tD(GUC)D",0,1.00905435355504,1.90035497020687,1.02163604776953,2.73360990354386,0.973780801354077
"YDR275W",323.753098936027,302.716306066512,298.355730322478,360.637524862643,349.902067653615,361.272677302363
"YDR043C",702.41838426403,634.69518838612,624.266607712956,307.512450378628,382.705386496141,424.568429390378
